Job ID,DSD,learning_rate,batch_size,patience,beta1,beta2,fe_fus Adam,GPU,Exptr. Group,Last Name,Run order,Epochs_Seed14,Log_MISI_Seed14
7472498,1,0.01,500,100,0.95,0.99,fused,A100,Mac,Yohannes,3,325,-1.8
7402021,2,0.01,200,10,0.65,0.81,False x 2,V100,PC,Rawat,6,200,-1.6
7392873,3,0.1,316,10,0.95,0.81,False x 2,A100,Mac,Borhan,4,100,-1.1
7472505,4,0.001,316,100,0.65,0.99,fused,V100,PC,Sule,4,800,-1.15
7397868,5,0.1,500,32,0.65,0.99,False x 2,A100,Mac,Yohannes,2,800,-1.2
7472504,6,0.001,200,32,0.95,0.81,fused,V100,PC,Rawat,5,800,-1.2
7472499,7,0.1,200,100,0.8,0.81,fused,V100,Mac,Yohannes,5,125,-1.1
7399752,8,0.001,500,10,0.8,0.99,False x 2,A100,PC,Rawat,1,800,-1
7402032,9,0.1,500,10,0.95,0.9,False x 2,V100,PC,Sule,1,100,-1.3
7472495,10,0.001,200,100,0.65,0.9,fused,A100,Mac,Borhan,3,800,-1.4
7399967,11,0.1,500,100,0.65,0.99,foreach,V100,PC,Rawat,3,800,-1.2
7399286,12,0.001,200,10,0.95,0.81,foreach,A100,Mac,Yohannes,7,800,-1.5
7472500,13,0.1,500,100,0.95,0.81,fused,A100,PC,Rawat,2,75,-1.25
7398925,14,0.001,200,10,0.65,0.99,False x 2,V100,Mac,Yohannes,4,800,-1.4
7392738,15,0.1,200,100,0.95,0.99,False x 2,V100,Mac,Borhan,2,100,-1.15
7472507,16,0.001,500,10,0.65,0.81,fused,A100,PC,Sule,6,800,-1.05
7472506,17,0.1,200,10,0.95,0.99,fused,A100,PC,Sule,5,50,-1.15
7397557,18,0.001,500,100,0.65,0.81,False x 2,V100,Mac,Borhan,6,800,-1
7472496,19,0.1,200,10,0.65,0.99,fused,A100,Mac,Borhan,5,800,-0.5
7402034,20,0.001,500,100,0.95,0.81,False x 2,V100,PC,Sule,3,800,-1.05
7472497,21,0.1,500,10,0.65,0.81,fused,V100,Mac,Yohannes,1,100,-1.2
7399970,22,0.001,200,100,0.95,0.99,False x 2,A100,PC,Rawat,4,800,-1.15
7402033,23,0.1,200,100,0.65,0.81,False x 2,A100,PC,Sule,2,75,-1
7472487,24,0.001,500,10,0.95,0.99,fused,V100,Mac,Borhan,1,800,-1.15
7402031,25,0.01,316,32,0.8,0.9,foreach,V100,PC,Rawat,7,350,-1.7
7398934,26,0.01,316,32,0.8,0.9,foreach,A100,Mac,Yohannes,6,225,-1.7
