Job ID,run_original,New Job ID (21),DSD,learning_rate,batch_size,patience,beta1,beta2,fe_fus Adam,GPU,Exptr. Group,Last Name,Run order,Epochs_Seed21,Log_MISI_Seed21,Epochs_Seed14,Log_MISI_Seed14,Epochs_Seed21_V2,Log_MISI_Seed21_V2
7472425,9,7541719,1,0.01,500,100,0.95,0.99,fused,A100,Mac,Yohannes,3,225,-1.65,325,-1.8,190,-1.8
7418970,19,7602609,2,0.01,200,10,0.65,0.81,False x 2,V100,PC,Rawat,6,525,-1.7,200,-1.6,225,-1.6
7404132,4,7541724,3,0.1,316,10,0.95,0.81,False x 2,A100,Mac,Borhan,4,325,-1.2,100,-1.1,80,-1.15
7472432,24,7541727,4,0.001,316,100,0.65,0.99,fused,V100,PC,Sule,4,75,-1.15,800,-1.15,800,-1.1
7405178,8,7541730,5,0.1,500,32,0.65,0.99,False x 2,A100,Mac,Yohannes,2,800,-1.2,800,-1.2,800,-1.2
7418613,18,7541731,6,0.001,200,32,0.95,0.81,fused,V100,PC,Rawat,5,175,-1.6,800,-1.2,800,-1.2
7472439,11,7541732,7,0.1,200,100,0.8,0.81,fused,V100,Mac,Yohannes,5,50,-1.1,125,-1.1,50,-1.1
7472426,14,7541734,8,0.001,500,10,0.8,0.99,False x 2,A100,PC,Rawat,1,100,-1.25,800,-1,800,-1.05
7421689,21,7541736,9,0.1,500,10,0.95,0.9,False x 2,V100,PC,Sule,1,100,-1,100,-1.3,85,-1.35
7472424,3,7541739,10,0.001,200,100,0.65,0.9,fused,A100,Mac,Borhan,3,800,-1,800,-1.4,800,-0.95
7414767,16,7541740,11,0.1,500,100,0.65,0.99,foreach,V100,PC,Rawat,3,800,-1.45,800,-1.2,800,-1.25
7410821,13,7541741,12,0.001,200,10,0.95,0.81,foreach,A100,Mac,Yohannes,7,800,-1,800,-1.5,800,-1.6
7413798,15,7541743,13,0.1,500,100,0.95,0.81,fused,A100,PC,Rawat,2,800,-1.2,75,-1.25,75,-1.2
7406219,10,7537955,14,0.001,200,10,0.65,0.99,False x 2,V100,Mac,Yohannes,4,800,-1.55,800,-1.4,800,-1.3
7403077,2,7537956,15,0.1,200,100,0.95,0.99,False x 2,V100,Mac,Borhan,2,75,-1.1,100,-1.15,50,-1.15
7472427,26,7581018,16,0.001,500,10,0.65,0.81,fused,A100,PC,Sule,6,275,-1.8,800,-1.05,800,-0.8
7472428,25,7537958,17,0.1,200,10,0.95,0.99,fused,A100,PC,Sule,5,800,-0.7,50,-1.15,50,-1.15
7405169,6,7537961,18,0.001,500,100,0.65,0.81,False x 2,V100,Mac,Borhan,6,800,-0.75,800,-1,800,-0.8
7472423,5,7537967,19,0.1,200,10,0.65,0.99,fused,A100,Mac,Borhan,5,800,-0.55,800,-0.5,800,-0.4
7472437,23,7537968,20,0.001,500,100,0.95,0.81,False x 2,V100,PC,Sule,3,800,-1.45,800,-1.05,800,-1.15
7472440,7,7537971,21,0.1,500,10,0.65,0.81,fused,V100,Mac,Yohannes,1,100,-1.2,100,-1.2,175,-1.2
7472438,17,7537972,22,0.001,200,100,0.95,0.99,False x 2,A100,PC,Rawat,4,800,-1.4,800,-1.15,800,-1.65
7421759,22,7537974,23,0.1,200,100,0.65,0.81,False x 2,A100,PC,Sule,2,800,-1.1,75,-1,50,-1
7472441,1,7537979,24,0.001,500,10,0.95,0.99,fused,V100,Mac,Borhan,1,800,-1,800,-1.15,800,-1.05
7419967,20,7537983,25,0.01,316,32,0.8,0.9,foreach,V100,PC,Rawat,7,75,-1.3,350,-1.7,125,-1.7
7407114,12,7537984,26,0.01,316,32,0.8,0.9,foreach,A100,Mac,Yohannes,6,350,-1.7,225,-1.7,200,-1.7
