experimenter,date_time,batch_size,learning_rate,weights,seed,patience,beta1,beta2,fused,foreach,run_time,epochs_completed,GPU,dataset_filename,running_data
asule1,2024-07-19_T22-33-17,316,0.01,wpca,7,10,0.7,0.65,False,False,557.3562858104706,4,A100,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
asule1,2024-07-19_T23-03-09,500,0.1,wpca,7,10,0.95,0.9,False,False,95.4610390663147,0,V100,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
asule1,2024-07-19_T23-06-35,200,0.1,wpca,7,100,0.65,0.81,False,False,110.94494390487671,0,A100,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
asule1,2024-07-19_T23-08-55,500,0.001,wpca,7,100,0.95,0.81,False,False,97.1272702217102,0,V100,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
asule1,2024-07-19_T23-09-54,316,0.001,wpca,7,100,0.65,0.99,True,False,113.40659189224243,0,V100,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
asule1,2024-07-19_T23-11-23,200,0.1,wpca,7,10,0.95,0.99,True,False,108.71633005142212,0,A100,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
asule1,2024-07-19_T23-14-14,500,0.001,wpca,7,10,0.65,0.81,True,False,77.54732394218445,0,A100,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
asule1,2024-07-23_T19-37-13,200,0.1,wpca,7,100,0.65,0.81,False,False,439.36247086524963,2,A40,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
asule1,2024-07-23_T19-35-13,500,0.1,wpca,7,10,0.95,0.9,False,False,532.48353099823,2,RTX,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
asule1,2024-07-23_T19-44-12,500,0.001,wpca,7,10,0.65,0.81,True,False,286.5065188407898,2,A40,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
asule1,2024-07-23_T19-42-42,200,0.1,wpca,7,10,0.95,0.99,True,False,418.1839339733124,2,A40,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
asule1,2024-07-23_T19-40-16,500,0.001,wpca,7,100,0.95,0.81,False,False,520.2800059318542,2,RTX,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
asule1,2024-07-23_T19-41-22,316,0.001,wpca,7,100,0.65,0.99,True,False,607.2144320011139,2,RTX,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
asule1,2024-07-23_T20-38-53,500,0.001,wpca,7,10,0.65,0.81,True,False,78261.51548099518,799,A40,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
asule1,2024-07-19_T23-29-14,500,0.001,wpca,7,10,0.65,0.81,True,False,426595.6804420948,4999,A100,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
asule1,2024-07-23_T20-38-14,200,0.1,wpca,7,10,0.95,0.99,True,False,120776.09545707703,799,A40,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
asule1,2024-07-23_T20-35-34,200,0.1,wpca,7,100,0.65,0.81,False,False,121494.25877285004,799,A40,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
asule1,2024-07-23_T20-34-34,500,0.1,wpca,7,10,0.95,0.9,False,False,139714.39003896713,799,RTX,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
asule1,2024-07-23_T20-36-15,500,0.001,wpca,7,10,0.95,0.81,False,False,141070.63362884521,799,RTX,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
asule1,2024-07-23_T20-37-16,316,0.001,wpca,7,100,0.65,0.99,True,False,164140.82193613052,799,RTX,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
asule1,2024-07-24_T23-17-44,500,0.001,wpca,7,100,0.95,0.81,False,False,79661.35186195374,799,V100,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
asule1,2024-07-24_T23-18-03,316,0.001,wpca,7,100,0.65,0.99,True,False,100231.76473116875,799,V100,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
