experimenter,date_time,batch_size,learning_rate,weights,seed,patience,beta1,beta2,fused,foreach,run_time,epochs_completed,GPU,dataset_filename,running_data
fborhan1,2024-07-19_T22-33-16,316,0.01,wpca,7,10,0.7,0.65,False,False,114.4911949634552,0,A100,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
fborhan1,2024-07-23_T19-35-43,500,0.001,wpca,7,10,0.95,0.99,True,False,524.2484891414642,2,RTX,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
fborhan1,2024-07-23_T19-39-19,200,0.001,wpca,7,100,0.65,0.9,True,False,437.3921709060669,2,A40,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
fborhan1,2024-07-23_T19-40-54,316,0.1,wpca,7,10,0.95,0.81,False,False,351.99039697647095,2,A40,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
fborhan1,2024-07-23_T19-42-14,200,0.1,wpca,7,10,0.65,0.99,True,False,437.1189880371094,2,A40,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
fborhan1,2024-07-23_T19-37-15,200,0.1,wpca,7,100,0.95,0.99,False,False,757.2709970474243,2,RTX,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
fborhan1,2024-07-23_T19-46-51,500,0.001,wpca,7,100,0.65,0.81,False,False,508.75440096855164,2,RTX,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
fborhan1,2024-07-23_T20-42-34,316,0.1,wpca,7,10,0.95,0.81,False,False,93619.89112305641,799,A40,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
fborhan1,2024-07-23_T20-41-34,200,0.001,wpca,7,100,0.65,0.9,True,False,118618.08058214188,799,A40,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
fborhan1,2024-07-23_T20-43-35,200,0.1,wpca,7,10,0.65,0.99,True,False,122049.68059396744,799,A40,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
fborhan1,2024-07-23_T20-33-48,500,0.001,wpca,7,10,0.95,0.99,True,False,142918.85341215134,799,RTX,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
fborhan1,2024-07-23_T20-34-47,200,0.1,wpca,7,100,0.95,0.99,False,False,208861.54895615578,799,RTX,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
fborhan1,2024-07-25_T01-31-00,500,0.001,wpca,7,100,0.65,0.81,False,False,139967.75907492638,799,RTX,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
