experimenter,date_time,batch_size,learning_rate,weights,seed,patience,beta1,beta2,fused,foreach,run_time,epochs_completed,GPU,dataset_filename,running_data
oyohannes1,2024-07-19_T22-33-39,316,0.01,wpca,7,10,0.7,0.65,False,False,116.79888415336609,0,A100,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
oyohannes1,2024-07-23_T19-41-14,500,0.1,wpca,7,32,0.65,0.99,False,False,291.3519880771637,2,A40,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
oyohannes1,2024-07-23_T19-41-40,500,0.01,wpca,7,100,0.95,0.99,True,False,293.58176493644714,2,A40,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
oyohannes1,2024-07-23_T19-36-56,500,0.1,wpca,7,10,0.65,0.81,True,False,527.2593159675598,2,RTX,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
oyohannes1,2024-07-23_T19-45-55,316,0.01,wpca,7,32,0.8,0.9,False,True,345.9828128814697,2,A40,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
oyohannes1,2024-07-23_T19-47-37,200,0.001,wpca,7,10,0.95,0.81,False,True,429.9119219779968,2,A40,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
oyohannes1,2024-07-23_T19-43-21,200,0.001,wpca,7,10,0.65,0.99,False,False,754.8286530971527,2,RTX,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
oyohannes1,2024-07-23_T19-44-22,200,0.1,wpca,7,100,0.8,0.81,True,False,758.9576590061188,2,RTX,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
oyohannes1,2024-07-23_T20-36-59,500,0.1,wpca,7,32,0.65,0.99,False,False,75700.44441699982,799,A40,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
oyohannes1,2024-07-23_T20-37-33,500,0.01,wpca,7,100,0.95,0.99,True,False,77569.30281710625,799,A40,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
oyohannes1,2024-07-19_T23-16-10,500,0.01,wpca,7,100,0.95,0.99,True,False,426253.92797899246,4999,A100,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
oyohannes1,2024-07-23_T20-43-12,316,0.01,wpca,7,32,0.8,0.9,False,True,93472.49644780159,799,A40,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
oyohannes1,2024-07-19_T23-14-32,500,0.1,wpca,7,32,0.65,0.99,False,False,430956.19609189034,4999,A100,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
oyohannes1,2024-07-23_T20-44-18,200,0.001,wpca,7,10,0.95,0.81,False,True,119283.42984294891,799,A40,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
oyohannes1,2024-07-23_T20-35-51,500,0.1,wpca,7,10,0.65,0.81,True,False,140463.76679205894,799,RTX,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
oyohannes1,2024-07-23_T20-42-21,200,0.1,wpca,7,100,0.8,0.81,True,False,204649.9746711254,799,RTX,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
oyohannes1,2024-07-23_T20-41-16,200,0.001,wpca,7,10,0.65,0.99,False,False,206577.85174298286,799,RTX,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
