experimenter,date_time,batch_size,learning_rate,weights,seed,patience,beta1,beta2,fused,foreach,run_time,epochs_completed,GPU,dataset_filename,running_data
prawat2,2024-07-19_T22-32-57,316,0.01,wpca,7,10,0.7,0.65,False,False,116.30491995811462,0,A100,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
prawat2,2024-07-23_T19-37-51,500,0.001,wpca,7,10,0.8,0.99,False,False,291.4238529205322,2,A40,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
prawat2,2024-07-23_T19-40-28,500,0.1,wpca,7,100,0.95,0.81,True,False,278.2718768119812,2,A40,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
prawat2,2024-07-23_T19-44-03,500,0.1,wpca,7,100,0.65,0.99,False,True,514.7571268081665,2,RTX,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
prawat2,2024-07-23_T19-46-37,200,0.001,wpca,7,100,0.95,0.99,False,False,440.02572798728943,2,A40,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
prawat2,2024-07-23_T19-58-55,316,0.01,wpca,7,32,0.8,0.9,False,True,603.0050690174103,2,RTX,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
prawat2,2024-07-23_T19-56-20,200,0.001,wpca,7,32,0.95,0.81,True,False,756.9338281154633,2,RTX,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
prawat2,2024-07-23_T19-58-19,200,0.01,wpca,7,10,0.65,0.81,False,False,765.8305079936981,2,RTX,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
prawat2,2024-07-23_T20-36-38,500,0.1,wpca,7,100,0.95,0.81,True,False,78019.6323029995,799,A40,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
prawat2,2024-07-23_T20-35-26,500,0.001,wpca,7,10,0.8,0.99,False,False,79376.75343799591,799,A40,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
prawat2,2024-07-19_T23-18-34,500,0.001,wpca,7,10,0.8,0.99,False,False,428465.6810500622,4999,A100,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
prawat2,2024-07-23_T20-40-58,200,0.001,wpca,7,100,0.95,0.99,False,False,121784.1392300129,799,A40,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
prawat2,2024-07-23_T20-37-59,500,0.1,wpca,7,100,0.65,0.99,False,True,139109.25529885292,799,RTX,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
prawat2,2024-07-23_T23-07-15,316,0.01,wpca,7,32,0.8,0.9,False,True,162616.56674480438,799,RTX,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
prawat2,2024-07-24_T23-11-04,500,0.1,wpca,7,100,0.65,0.99,False,True,78626.69337892532,799,V100,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
prawat2,2024-07-24_T23-14-02,316,0.01,wpca,7,32,0.8,0.9,False,True,93561.32425785065,799,V100,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
prawat2,2024-07-23_T21-06-18,200,0.01,wpca,7,10,0.65,0.81,False,False,203515.52807092667,799,RTX,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
prawat2,2024-07-23_T20-42-19,200,0.001,wpca,7,32,0.95,0.81,True,False,206430.25816702843,799,RTX,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
prawat2,2024-07-24_T23-13-32,200,0.01,wpca,7,10,0.65,0.81,False,False,115087.84930300713,799,V100,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
prawat2,2024-07-24_T23-13-02,200,0.001,wpca,7,32,0.95,0.81,True,False,116642.02391195297,799,V100,sim-siva_dataset100_source12_sample32768_seed7.mat,results/MathPath2024/
